"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","cglib:cglib-nodep","2.1_3","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib-nodep"
"java","com.sun.xml.bind:jaxb-impl","2.1.12","CDDL-1.1","","https://mvnrepository.com/artifact/com.sun.xml.bind/jaxb-impl"
"java","com.sun.xml.messaging.saaj:saaj-impl","1.3.2","CDDL-1.0,Artistic-1.0","","https://mvnrepository.com/artifact/com.sun.xml.messaging.saaj/saaj-impl"
"java","com.sun.xml.parsers:jaxp-ri","1.4","CDDL; GPLV2","","https://mvnrepository.com/artifact/com.sun.xml.parsers/jaxp-ri"
"java","commons-beanutils:commons-beanutils","1.8.3","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils"
"java","commons-beanutils:commons-beanutils-bean-collections","1.8.3","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-bean-collections"
"java","commons-beanutils:commons-beanutils-core","1.8.3","Apache-2.0","","https://mvnrepository.com/artifact/commons-beanutils/commons-beanutils-core"
"java","commons-codec:commons-codec","1.7","Apache-2.0","","https://mvnrepository.com/artifact/commons-codec/commons-codec"
"java","commons-collections:commons-collections","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-collections/commons-collections"
"java","commons-dbcp:commons-dbcp","1.2.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-dbcp/commons-dbcp"
"java","commons-digester:commons-digester","2.0","Apache-2.0","","https://mvnrepository.com/artifact/commons-digester/commons-digester"
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","commons-pool:commons-pool","1.5.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-pool/commons-pool"
"java","concurrent","1.3.4","PUBDOM","",""
"java","freemarker:freemarker","2.3.8","Apache-2.0","","https://mvnrepository.com/artifact/freemarker/freemarker"
"java","javax.servlet:jstl","1.0","CDDL; GPLV2","","https://mvnrepository.com/artifact/javax.servlet/jstl"
"java","javax.xml.bind:activation","1.0.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/activation"
"java","javax.xml.bind:jaxb-api","2.1","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/jaxb-api"
"java","jboss-j2ee","4.3.0","Apache-2.0","",""
"java","jcs:jcs","1.3","Apache-2.0","","https://mvnrepository.com/artifact/jcs/jcs"
"java","log4j:log4j","1.2.14","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","opensymphony:ognl","2.6.10","iMatix","","https://mvnrepository.com/artifact/opensymphony/ognl"
"java","org.apache.cxf:cxf-bundle","2.4.6","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-bundle"
"java","org.apache.geronimo.specs:geronimo-javamail_1.4_spec","1.6","Apache-2.0","",""
"java","org.apache.neethi:neethi","3.0.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.neethi/neethi"
"java","org.apache.pdfbox:pdfbox","2.0.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.pdfbox/pdfbox"
"java","org.apache.santuario:xmlsec","1.5.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.santuario/xmlsec"
"java","org.apache.ws.security:wss4j","1.6.6","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.ws.security/wss4j"
"java","org.apache.ws.xmlschema:xmlschema-core","2.0.3","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.ws.xmlschema/xmlschema-core"
"java","org.bouncycastle:bcpkix-jdk15on","1.55","CDDL+GPL","Copyright (c) 20002023 The Legion of the Bouncy Castle Inc. (https://www.bouncycastle.org)","https://mvnrepository.com/artifact/org.bouncycastle/bcpkix-jdk15on"
"java","org.bouncycastle:bcprov-jdk15on","1.55","CDDL+GPL","Copyright (c) 20002023 The Legion of the Bouncy Castle Inc. (https://www.bouncycastle.org)","https://mvnrepository.com/artifact/org.bouncycastle/bcprov-jdk15on"
"java","org.codehaus.jackson:jackson-core-asl","1.9.12","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-core-asl"
"java","org.codehaus.jackson:jackson-jaxrs","1.9.12","LGPL-2.1-only,Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-jaxrs"
"java","org.codehaus.jackson:jackson-mapper-asl","1.9.12","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-mapper-asl"
"java","org.codehaus.jackson:jackson-xc","1.9.12","LGPL-2.1-only,Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jackson/jackson-xc"
"java","org.codehaus.jettison:jettison","1.3.1","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.jettison/jettison"
"java","org.codehaus.woodstox:stax2-api","3.1.1","BSD","","https://mvnrepository.com/artifact/org.codehaus.woodstox/stax2-api"
"java","org.codehaus.woodstox:wstx-asl","3.2.9","Apache-2.0","","https://mvnrepository.com/artifact/org.codehaus.woodstox/wstx-asl"
"java","org.eclipse.birt.runtime.3_7_1:com.lowagie.text","--","EPL-1.0","",""
"java","org.netbeans.external:org-apache-commons-lang","RELEASE113","Apache-2.0","","https://mvnrepository.com/artifact/org.netbeans.external/org-apache-commons-lang"
"java","org.springframework:spring-aop","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-aop"
"java","org.springframework:spring-asm","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-asm"
"java","org.springframework:spring-beans","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-beans"
"java","org.springframework:spring-context","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-context"
"java","org.springframework:spring-context-support","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-context-support"
"java","org.springframework:spring-core","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-core"
"java","org.springframework:spring-expression","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-expression"
"java","org.springframework:spring-jdbc","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-jdbc"
"java","org.springframework:spring-orm","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-orm"
"java","org.springframework:spring-oxm","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-oxm"
"java","org.springframework:spring-struts","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-struts"
"java","org.springframework:spring-test","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-test"
"java","org.springframework:spring-tx","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-tx"
"java","org.springframework:spring-web","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-web"
"java","org.springframework:spring-webmvc","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-webmvc"
"java","org.springframework:spring-webmvc-portlet","3.1.1.RELEASE","Apache-2.0","","https://mvnrepository.com/artifact/org.springframework/spring-webmvc-portlet"
"java","org.zenframework.z8.dependencies.commons:commons-io-2.2","2.0","MIT","",""
"java","postgresql:postgresql","9.0-801.jdbc3","BSD","","https://mvnrepository.com/artifact/postgresql/postgresql"
"java","servlet","2.4","CDDL+GPL","",""
"java","servlet-jsp","2.0","CDDL+GPL","",""
"java","util-perf","1.0.1","Apache-2.0","",""
"java","wsdl4j:wsdl4j","1.6.3","CPL-1.0","","https://mvnrepository.com/artifact/wsdl4j/wsdl4j"
"java","xfire:saaj-api","1.3","CDDL-1.0","","https://mvnrepository.com/artifact/xfire/saaj-api"
